,datetime,timestamp,open,high,low,close,volume,inflow_start_time,inflow_inflow_mean,inflow_inflow_mean_ma7,inflow_inflow_top10,inflow_inflow_total,outflow_start_time,outflow_outflow_mean,outflow_outflow_mean_ma7,outflow_outflow_top10,outflow_outflow_total,netflow_start_time,netflow_netflow_total,utxo_created_value_median,returns,volatility,volume_ma,target,hour,day_of_week,Time,zscore,signal,position,strategy_returns,equity,market,trades,fees,net_equity
25628,2025-03-14 15:00:00,1741964400000,83524.8,85309.71,83524.8,84724.58,5578.42625,1741964400000.0,6.80211053,8.93987537,517.26621699,557.77306318,1741964400000.0,23.51261418,11.93449533,798.9650064,893.47933878,1741964400000.0,-335.7062756,63.5287013817376,0.0143643564546098,0.0052697232290052,1224.551505833332,0,15,4,2025-03-14 15:00:00,-0.1815754394574425,0,-1,-0.0143643564546098,1.0272353257209463,0.905409292981146,0.0,0.0,1.0241536197437835
25629,2025-03-14 16:00:00,1741968000000,84724.58,84950.0,83949.19,84787.37,2261.19233,1741968000000.0,8.7682295,10.1616313,668.29158594,701.45836002,1741968000000.0,18.74501819,13.50656671,572.70700603,693.56567318,1741968000000.0,7.89268684000001,99.24114896576936,0.0007411072442022,0.0052090989682703,1248.4786899999983,0,16,4,2025-03-14 16:00:00,-0.12334796911780731,0,-1,-0.0007411072442022,1.0264740341795542,0.9060802983671424,0.0,0.0,1.0233946120770154
25630,2025-03-14 17:00:00,1741971600000,84787.37,84838.0,84194.01,84365.18,861.11789,1741971600000.0,0.00875682,2.93213662,0.27577073,0.28897522,1741971600000.0,32.10799367,14.87392113,608.432372,610.05187965,1741971600000.0,-609.76290443,92.56673548967775,-0.0049793972852324,0.0047860675694959,1159.8203199999984,0,17,4,2025-03-14 17:00:00,-0.256731336542846,0,-1,0.0049793972852324,1.0315852561987093,0.9015685645892505,0.0,0.0,1.0284905004301133
25631,2025-03-14 18:00:00,1741975200000,84365.18,84726.42,84203.66,84570.54,803.03307,1741975200000.0,13.80265783,4.89715741,977.21115969,993.79136365,1741975200000.0,8.4456938,15.33932006,356.25278095,371.61052704,1741975200000.0,622.1808366099999,108.43876387125984,0.0024341795987397,0.0045315579366984,1125.0227237499985,0,18,4,2025-03-14 18:00:00,0.7753038354739109,0,-1,-0.0024341795987397,1.0290741924137097,0.9037631443960387,0.0,0.0,1.0259869698364685
25632,2025-03-14 19:00:00,1741978800000,84570.54,84929.45,84458.44,84554.0,737.1922,1741978800000.0,0.37972923,4.89101873,9.85765589,9.87295987,1741978800000.0,10.22336658,15.13354885,291.65857864,296.47763091,1741978800000.0,-286.60467104,99.77461044136236,-0.0001955763791976,0.0040939428472665,1110.6625791666652,0,19,4,2025-03-14 19:00:00,-0.39214518137905624,0,-1,0.0001955763791976,1.0292754550181877,0.9035863896726054,0.0,0.0,1.026187628653133
25633,2025-03-14 20:00:00,1741982400000,84554.0,84554.01,83717.69,84127.2,1000.5735,1741982400000.0,4.00341693,5.45613523,321.24553122,328.28018861,1741982400000.0,12.98072599,15.84773569,401.66994117,454.3254096,1741982400000.0,-126.04522099000002,99.52528102198973,-0.0050476618492324,0.0043538390072482,1120.2434991666653,1,20,4,2025-03-14 20:00:00,-0.1276974293944804,0,-1,0.0050476618492324,1.0344708894648342,0.8990253911259694,0.0,0.0,1.0313674767964398
25634,2025-03-14 21:00:00,1741986000000,84127.21,84299.7,83953.57,84205.79,383.76632,1741986000000.0,0.21016555,4.85358091,10.42931247,10.50827765,1741986000000.0,10.97785691,16.71332419,324.0105274,362.26927801,1741986000000.0,-351.76100036,55.42875055649173,0.0009341806217251,0.0042899670702899,1106.4971195833318,1,21,4,2025-03-14 21:00:00,-0.40701939065126624,0,-1,-0.0009341806217251,1.0335045068061575,0.8998652432247981,0.0,0.0,1.030403993285739
25635,2025-03-14 22:00:00,1741989600000,84205.79,84512.05,84105.73,84438.06,849.70705,1741989600000.0,0.00633734,3.88275617,0.13370441,0.14575875,1741989600000.0,10.28183339,14.82321265,184.05151016,185.0730011,1741989600000.0,-184.92724235,8.453990988244371,0.0027583613905886,0.0041409924201909,1118.9784849999985,1,22,4,2025-03-14 22:00:00,-0.3373718056187955,0,-1,-0.0027583613905886,1.030653727877584,0.902347396768442,0.0,0.0,1.0275617666939512
25636,2025-03-14 23:00:00,1741993200000,84438.07,84445.2,83950.06,83983.2,436.43045,1741993200000.0,8.29787337,3.81556244,314.22021055,315.31918822,1741993200000.0,5.66761727,12.95501252,218.45461777,226.70469087,1741993200000.0,88.61449735,24.944930405615384,-0.0053869072785424,0.00426026306523,1119.1053145833318,1,23,4,2025-03-14 23:00:00,0.3906814628511755,0,-1,0.0053869072785424,1.0362057639459445,0.8974865350090163,0.0,0.0,1.0330971466541068
25637,2025-03-15 00:00:00,1741996800000,83983.19,84351.88,83964.57,84297.14,404.85017,1741996800000.0,10.77082894,5.35300131,387.31469262,387.74984199,1741996800000.0,1.4200374,8.57101876,40.10681597,42.60112215,1741996800000.0,345.14871984,44.98215589704072,0.0037381285780966,0.004230220463446,1105.918945416665,0,0,5,2025-03-15 00:00:00,0.4745288189381264,0,-1,-0.0037381285780966,1.0323322935669497,0.9008414550739905,0.0,0.0,1.0292352966862488
